subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
gemeldetes problem mit der udemy-integration und sso-einrichtung heute,"liebes support-team, ich melde mich, um einen sporadischen ausfall des sso bei der udemy-kursmigration auf die skillwave-plattform zu berichten. dieses problem besteht seit einigen tagen und verursacht verzögerungen im onboarding-prozess der mitarbeiter. zwar wurde eine vorübergehende manuelle zugriffsoption eingerichtet, jedoch streben wir eine dauerhafte lösung an. das problem tritt scheinbar unvorhersehbar auf, was die ursachenanalyse erschwert. zur veranschaulichung habe ich einen screenshot der fehlermeldung beigefügt. unsere einrichtung verwendet die neueste konfiguration.",customer onboarding,customer onboarding,nan,medium,3,german,german
kritischer fehler aufgetreten,"liebes support-team, wir haben einen größeren ausfall in unserer hadoop-etl-pipeline. die apache hadoop version 3.2.1 verhindert, dass der tägliche verkaufsbericht und die lageraktualisierungen abgeschlossen werden. eine dringende lösung ist erforderlich.",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
problem mit der dsgvo-konformität,"sehr geehrtes support-team, ich möchte ein ernstes problem mit dem ai-basierten planungstool von stratoworks, das in smartsheet integriert ist, melden. dieses problem führt zu einer verletzung der dsgvo-anhang-konformität. dies ist ein dringendes anliegen, das sofortiges handeln erfordert, um mögliche strafen wegen datenverstößen zu vermeiden. das problem trat nach dem letzten system-update auf und besteht trotz unserer fehlerbehebungsmaßnahmen weiterhin. im anhang finden sie einen screenshot der fehlermeldung zu ihrer information. die fehlermeldung lautet: 'gdpr addendum compliance error:'",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
integrationsprobleme bei der salesforce crm-synchronisierung,"liebes support-team,\n\nich melde gelegentliche fehler, die während der elevate360 salesforce crm-integration auftreten. das system scheitert zeitweise bei der synchronisation der daten mit der customer journey automation, was zu inkonsistenzen führt, die die effizienz des vertriebsteams beeinträchtigen. obwohl eine vorübergehende lösung angewendet wurde, die eine temporäre verbesserung bietet, ist innerhalb der nächsten 24 stunden eine dauerhafte behebung erforderlich. die fehler treten unvorhersehbar auf, was es schwierig macht, ein spezifisches muster zu erkennen. bitte finden sie den beigefügten screenshot des fehlers.\n",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
gelegentliche gitlab ci/cd-fehler führen zu verzögerungen im workflow,"liebes support-team,\n\nich möchte wiederkehrende, sporadische fehler im gitlab ci/cd-prozess melden, die die integration der satellitensensordaten mit agrisense analytics unterbrechen. dieses problem trat vor einigen tagen auf und tritt weiterhin intermittierend auf. unser team hat manuelle wiederholungen versucht, die nur vorübergehende erleichterung bringen, und wir benötigen eine langfristige lösung. die fehler scheinen zufällig aufzutreten, ohne ein erkennbares muster in den fehlermeldungen. ich habe einen screenshot angehängt, der den pipeline-fehler zu ihrer information zeigt. könnten sie dieses problem bitte untersuchen und so schnell wie möglich eine lösung bereitstellen?\n\nvielen dank.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
probleme bei der farbkontrastprüfung in adobe illustrator cc 2021,"liebes support-team, \n\nich habe inkonsistente ergebnisse bei der validierung des farbkontrasts im ui-prototyp des telemedizinportals von clinicsync mit adobe illustrator cc 2021 festgestellt. dieses problem verursacht verzögerungen bei der umsetzung von barrierefreiheitsanforderungen. ich arbeite an einem windows 10-rechner mit den neuesten updates. obwohl ich als vorübergehende lösung manuelle kontrastprüfungen mit drittanbieterlösungen durchgeführt habe, würde ich ihre unterstützung bei der untersuchung dieses problems sehr schätzen. bitte lassen sie mich wissen, falls sie weitere informationen von meiner seite benötigen. vielen dank.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
fehler bei der datenaufnahme,"liebes support-team, ich wende mich wegen eines problems mit der etl-pipeline, die über terraform verwaltet wird, an sie. die pipeline schlägt intermittierend fehl, iot-nachhaltigkeitsdaten zu erfassen, was zu verzögerungen bei der erstellung der täglichen co2-berichte führt. dieses problem tritt in der letzten woche sporadisch auf. die umgebung verwendet die neueste terraform-version auf ubuntu os. trotz versuchen, die pipeline neu zu starten, besteht das problem weiterhin. ich wäre ihnen dankbar für ihre hilfe bei der lösung dieses problems, da es unsere fähigkeit beeinträchtigt, berichte rechtzeitig zu erstellen. bitte lassen sie mich wissen, wie ich weiter vorgehen soll.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
aktualisierung zur hipaa-compliance für cms,"liebes support-team, ich benötige unterstützung bei der überarbeitung der hipaa-compliance-dokumente im medisecure health typo3 cms. ich suche schritt-für-schritt-anleitungen, um die einhaltung der rechtlichen und compliance-anforderungen sicherzustellen. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
kritischer fehler,"liebes support-team, ich melde einen schwerwiegenden jenkins-pipeline-ausfall bei retailvision. der verkaufsdateneinleseprozess wurde gestoppt, was zu störungen im dashboard-betrieb führt. dieses problem benötigt dringend aufmerksamkeit, um auswirkungen auf den umsatz zu vermeiden. der fehler besteht seit gestern. bitte leisten sie so bald wie möglich unterstützung. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
aws-bereitstellung schlägt nach installation des sicherheitspatches fehl,"liebes support-team, ich stehe vor einem großen problem mit der aws-bereitstellungspipeline. nach der anwendung des neuesten sicherheitspatches schlägt der bereitstellungsprozess fehl, was die notwendigen hipaa-vorgeschriebenen updates verhindert und compliance-bedenken hervorruft. eine schnelle hilfe zur behebung dieses problems ist dringend erforderlich.",release management,release management,nan,high,4,german,german
probleme mit der smartsheet-audit-log-funktionalität,"liebes support-team, ich stoße sporadisch auf fehler beim erstellen hipaa-konformer audit-logs in smartsheet, was mich dazu zwingt, manuelle umgehungslösungen zu verwenden. viele grüße, <name>",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
suche nach richtlinien für sicheren online-zugang zu monday.com über vpn-konfiguration,"hallo support-team, ich benötige die neuesten anweisungen zur vpn-einrichtung, um einen fernzugriff zu ermöglichen.",network infrastructure,network infrastructure,nan,low,2,german,german
daten-synchronisationsprobleme aufgrund eines postgresql-integrationsfehlers,"liebes support-team, ich habe gelegentlich probleme bei der daten-synchronisation mit postgresql 13, was zu verzögerungen bei der aktualisierung des portfolios führt. die manuelle aktualisierung dient als vorübergehende lösung.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
unvorhersehbare gitlab ci/cd-fehler führen zu verarbeitungsverzögerungen,"sehr geehrtes support-team,\n\nich möchte intermittierende ausfälle im gitlab ci/cd-prozess melden, die die integration von satellitensensordaten für agrisense analytics beeinträchtigen. dieses problem trat vor einigen tagen erstmals auf und tritt sporadisch wieder auf. unser team hat manuelle wiederholungen versucht, die nur vorübergehend abhilfe schaffen, jedoch keine dauerhafte lösung bieten. die fehler scheinen zufällig aufzutreten, ohne ersichtliches muster in den fehlermeldungen. im anhang finden sie einen screenshot, der den pipeline-fehler zur besseren übersicht zeigt.\n\nkönnten sie dieses problem bitte untersuchen und so schnell wie möglich eine lösung bereitstellen?",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
unterstützung bei der datadog-integration benötigt,"hallo support-team, hier ist brandpulse digital. wir möchten das datadog sdk in unser system integrieren, um die überwachung der release-pipelines für unsere marketing-tool-deployments zu verbessern. könnten sie uns die aktuellste sdk-dokumentation zukommen lassen? diese würde uns erheblich dabei helfen, unsere arbeitsabläufe zu optimieren. wir hatten schwierigkeiten, aktuelle informationen zu finden. unser team arbeitet mit der neuesten sdk-version und beabsichtigt, diese in mehreren systemen einzusetzen. für jegliche unterstützung wären wir sehr dankbar. vielen dank für ihre unterstützung und ihre zeit.",release management,release management,nan,low,2,german,german
probleme beim zugriff auf slack,"liebes support-team, ich habe häufige vpn-unterbrechungen, die meine nutzung von slack beeinträchtigen. dies erschwert die kommunikation in unserem team. derzeit dient die mobile app als vorübergehende lösung. - <name>",network infrastructure,network infrastructure,nan,medium,3,german,german
anfrage für verbesserte dokumentation,"liebes support-team, ich kontaktiere sie, um umfassendere dokumentation speziell zur verschlüsselung archivierter patientendaten innerhalb der google cloud platform (gcp) für medisecure health anzufordern. derzeit behandelt die vorhandene dokumentation hauptsächlich arbeitsabläufe im zusammenhang mit aktivem speicher. ich möchte freundlich darum bitten, die dokumentation zu erweitern, um bewährte methoden zur verschlüsselung archivierter daten abzudecken, wobei der schwerpunkt auf der einhaltung von hipaa liegt. obwohl dieses update nicht dringend ist, würde es unsere sicherheitsabläufe erheblich verbessern. vielen dank für ihre berücksichtigung; ich freue mich auf ihre antwort.",security operations,security operations,nan,low,2,german,german
gitlab-pipeline-fehler verursacht unterbrechung bei skillwave-analyseberichten,"liebes support-team,<br><br>ich melde ein kritisches problem mit der gitlab-etl-pipeline, das derzeit die täglichen skill-gap-analyseberichte für skillwave beeinträchtigt. der pipeline-ausfall ereignete sich am 10. märz 2024 gegen 3:00 utc. obwohl bereits versucht wurde, das problem zu beheben, besteht das problem weiterhin. unser team ist stark auf gitlab angewiesen, um ki-gesteuerte skill-gap-daten zu verarbeiten, und diese unterbrechung wirkt sich erheblich auf die einblicke aus, die wir unseren kunden bieten.<br><br>die ausgefallene pipeline",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
confluence-plattform zeigt unstimmigkeiten im navigationsmenü,"liebes support-team, ich habe unregelmäßigkeiten mit den navigationsmenüs in confluence festgestellt, die zu unterbrechungen in unserem arbeitsablauf führen. bitte priorisieren sie die behebung dieses problems, um eine konsistente und einheitliche benutzererfahrung zu gewährleisten. - <name>",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
daten-synchronisationsverzögerungen aufgrund von azure-api-timeout-problemen,"liebes support-team, wir haben derzeit sporadische timeouts bei der azure-api, die die synchronisierung der verkehrsanalysen in urbangrid dynamics beeinträchtigen. obwohl eine vorübergehende lösung implementiert wurde, benötigen wir dringend eine dauerhafte behebung innerhalb der sla-zeiten, um dienstunterbrechungen zu vermeiden. dieses problem ist kürzlich aufgetreten und verursacht verzögerungen bei einigen nicht wesentlichen funktionen. wir danken ihnen für ihre schnelle unterstützung. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
unterstützung bei der smartsheet-integration benötigt,"liebes support-team,\n\nich kontaktiere sie, um die neuesten aktualisierten richtlinien für die smartsheet-integration anzufordern. insbesondere suche ich eine klarstellung bezüglich der vertragsstrafen bei ausfallzeiten im zusammenhang mit drittanbietern in unseren verträgen. es wäre hilfreich, wenn sie die aktuellste dokumentation bereitstellen oder mich darauf hinweisen könnten, wo ich diese informationen finden kann.\n\ndies ist keine dringende angelegenheit, aber ich möchte sicherstellen, dass das legallink-team die korrekten details hat. bitte informieren sie mich, falls sie weitere informationen benötigen, um diese anfrage zu bearbeiten.\n\nvielen dank für ihre unterstützung.\n\nmit freundlichen grüßen,",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
unterstützung bei der anpassung von airtable,"liebes support-team,\n\nich wende mich an sie bezüglich der anpassung des airtable release-kalenders für die ki-gestützten projektzeitpläne von stratoworks. derzeit sind die auswahlmöglichkeiten für die planung von deployment-zeitfenstern recht eingeschränkt. ich bitte um zusätzliche planungsoptionen, die unsere cloud-native saas-ausrichtung effektiver unterstützen würden. diese verbesserung würde unsere gemeinsame planung erheblich verbessern.\n\nich habe für ihre referenz einen screenshot der aktuellen konfiguration beigefügt. obwohl ich verstehe, dass dies möglicherweise eine weniger prioritäre anfrage ist, halte ich es für ein wertvolles feature-update.\n\nvielen dank für ihre zeit und ihr verständnis.\n\nmit freundlichen grüßen,\n<name>",release management,release management,nan,low,2,german,german
dringender dsgvo-verstoß aufgrund unbefugten zugriffs auf patientendaten,"liebes support-team, ich wende mich dringend an sie wegen eines dsgvo-verstoßes in bezug auf die sicherheit von patientendaten, der durch unbefugten zugriff auf das ehr-system über eine schwachstelle in norton 360 verursacht wurde.",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
eclipse ide erlebt gelegentliche build-fehler,"hallo support-team,<br>ich möchte intermittierende build-fehler melden, die in eclipse ide 2021-06 während der integration mit der zenithflow ci/cd-pipeline auftreten. diese fehler passieren unvorhersehbar und beeinträchtigen geplante updates. allerdings habe ich eine vorübergehende lösung gefunden, indem ich die befehlszeilenschnittstelle (cli) verwende.<br>ich nutze eclipse ide 2021-06 auf windows 10 mit den neuesten updates. die build-fehler treten scheinbar zufällig auf; ich habe bereits versucht, die ide neu zu starten, jedoch ohne erfolg.",software development,software development,nan,medium,3,german,german
unterstützung benötigt bei intellij-support,"sehr geehrtes support-team, ich wende mich an sie, um ein update der intellij idea-integrationsdokumentation im zusammenhang mit den ci/cd-pipelines von clinicsync zu erbitten. die vorhandene dokumentation ist veraltet, was zu verzögerungen im entwickler-onboarding-prozess führt. es wäre sehr hilfreich, wenn die dokumentation überarbeitet werden könnte, um die aktuellsten konfigurationseinstellungen und verfahren einzuschließen. dieses update würde dazu beitragen, den onboarding-prozess zu beschleunigen und die zeit zu verkürzen, die neue entwickler benötigen, um effektiv mit der arbeit zu beginnen. ich habe versucht, der aktuellen dokumentation zu folgen, jedoch ohne erfolg.",software development,software development,nan,low,2,german,german
anfrage zur aws gdpr-konformität,"liebes support-team, ich wende mich an sie, um so schnell wie möglich den vollständigen gdpr-konformitätszusatz bezüglich der aws-datenspeicherung anzufordern. wir hatten kürzlich einige herausforderungen, die dringend gelöst werden müssen, um die einhaltung der erforderlichen vorschriften zu gewährleisten. könnten sie bitte die notwendigen unterlagen und anleitungen bereitstellen, um dieses problem zeitnah zu beheben? ihre unterstützung in dieser angelegenheit wäre sehr geschätzt. vielen dank für ihre schnelle aufmerksamkeit. mit freundlichen grüßen, <name>",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
gemeldetes problem mit der mesh-vpn-verbindung,"liebes support-team, ich möchte ein kritisches problem mit der mesh-vpn-verbindung melden, das das urbangrid adaptive beleuchtungssystem betrifft. der ausfall begann gestern abend gegen 22:00 uhr und ist bisher nicht behoben, was erhebliche sicherheitsrisiken in der gesamten stadt verursacht. da das system auf eine stabile vpn-verbindung angewiesen ist, um ordnungsgemäß zu funktionieren, ist es derzeit nicht in der lage, die beleuchtung basierend auf aktuellen verkehrsdaten und fußgängerinformationen anzupassen. versuche, das system neu zu starten, haben das problem nicht gelöst.",network infrastructure,network infrastructure,nan,high,4,german,german
gelegentliche zapier-synchronisierungsfehler bei der novapm-workflow-integration,"liebes support-team,\n\nich habe sporadische fehler beim synchronisieren der novopm-workflows über zapier. die integration schlägt wiederholt fehl, wenn versucht wird, projektdaten zur prognose in die novapm-dashboards zu übertragen. um dieses problem zu umgehen, laden wir aktuell manuell csv-dateien hoch, was nicht ideal ist und viel zeit in anspruch nimmt.\n\nfür ihre unterstützung bei der lösung dieses problems wäre ich ihnen sehr dankbar.\n\nmit freundlichen grüßen,\n<name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
anfrage zur vpn-erweiterung,"sehr geehrtes support-team, hier ist healthguard systems mit einer anfrage zu einer geringfügigen erweiterung. wir verwenden derzeit terraform-vorlagen, um die vpn-einstellungen des krankenhauses im rahmen unserer netzwerkdokumentation zu konfigurieren. während die aktuellen vorlagen die grundlegenden anforderungen erfüllen, entsprechen sie nicht vollständig unseren spezifischen bedürfnissen. wir sind an mehr konfigurationsoptionen interessiert, die besser auf unsere infrastruktur abgestimmt sind. insbesondere möchten wir die vpn-einrichtung erweitern, um detaillierte sicherheitsprotokolle und zugriffssteuerungen einzubeziehen, die speziell auf den gesundheitssektor zugeschnitten sind.",network infrastructure,network infrastructure,nan,low,2,german,german
probleme bei der erstellung von dsgvo-berichten,"liebes support-team, ich habe verzögerungen bei der erstellung des dsgvo-berichts. deshalb muss ich manuelle exporte durchführen.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
problem mit dem farbkontrast,"liebes support-team,\n\nich wende mich an sie wegen eines inkonsistenten farbkontrastproblems bei der onenote-integration in stratoworks. mir ist aufgefallen, dass einige texte verblasst aussehen, was die lesbarkeit beeinträchtigt. interessanterweise lindert das aktivieren des dunkelmodus das problem vorübergehend durch anpassung der ui-einstellungen. ich benutze die neueste version von stratoworks auf einem windows 10-system mit chrome als standardbrowser. trotz löschen des cache und neustarts der anwendung bleibt das problem bestehen. ich habe einen screenshot zu ihrer information beigefügt.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
export von abrechnungsunterlagen,"liebes support-team, ich möchte einen vorschlag für eine neue funktion bei clinicsync access unterbreiten, die die verwaltung der finanziellen unterlagen von patienten erheblich vereinfachen würde. ich halte die möglichkeit, abrechnungsübersichten zu exportieren, für äußerst nützlich. diese funktion würde es den nutzern ermöglichen, die abrechnungshistorie der patienten mühelos zu überwachen, die abhängigkeit von manueller dateneingabe zu verringern und die fehlerquote zu senken. als regelmäßiger nutzer von clinicsync access ist mir aufgefallen, dass diese funktion derzeit fehlt und eine wertvolle ergänzung darstellen würde.",account & billing management,account & billing management,nan,low,2,german,german
probleme mit der android-anwendung,"liebes support-team, ich habe bei der skillwave android-anwendung ein inkonsistentes ansprechverhalten im menü festgestellt. genauer gesagt reagieren die menüs der microlearning-module manchmal nicht, was die navigation erschwert. ich habe bereits versucht, sowohl die app als auch das gerät neu zu starten, aber das problem besteht weiterhin. als vorübergehende lösung nutze ich das web-portal, das wie erwartet funktioniert. ich wäre ihnen dankbar, wenn sie dieses problem untersuchen und eine lösung anbieten könnten. das problem trat vor einigen tagen auf, und ich verwende die neueste version der app auf meinem android-gerät. vielen dank für ihre unterstützung.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
ecologix supportanfrage,"liebes support-team, ich wende mich an sie, um eine feature-integration vorzuschlagen, von der ich glaube, dass sie die funktionalität der ibm cloud-dashboards erheblich verbessern könnte. konkret schlage ich die einbindung der ecologix iot-nachhaltigkeitsanalyse-dashboards vor. diese ergänzung würde den nutzern leistungsstarke tools zur co2-berichterstattung bieten und fundiertere entscheidungen ermöglichen. ich verstehe, dass dies möglicherweise eine anfrage mit niedriger priorität ist, aber ich halte es für eine wertvolle erweiterung. ich würde mich über jegliche neuigkeiten bezüglich der umsetzbarkeit dieser integration freuen. ich nutze die dashboards schon seit einiger zeit und freue mich auf ihr feedback.",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
grammarly-toolvorlagen für dsgvo-konformität,"liebes support-team, ich kontaktiere nextwave marketing bezüglich der integration von dsgvo-konformen klauselvorlagen in grammarly. wir verwenden grammarly zur inhaltserstellung und sind der meinung, dass das hinzufügen dieser funktion die einhaltung gesetzlicher vorschriften, audits und vertragsaktualisierungen erheblich unterstützen würde. die implementierung von dsgvo-vorlagen könnte die überprüfung von inhalten und die vertragsentwurfsprozesse vereinfachen. obwohl ich anerkenne, dass dies eine funktion mit niedriger priorität ist, wäre es eine vorteilhafte erweiterung für unternehmen, die grammarly für die inhaltserstellung nutzen. ihre berücksichtigung würde sehr geschätzt.",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
klärung der rechnungsdetails erforderlich,"liebes support-team,\n\nich wende mich an sie bezüglich des brandpulse digital abonnements, das über shopify erworben wurde. kürzlich sind bei mir einige fragen zur rechnung aufgetaucht, insbesondere in bezug darauf, wie die partnerschaftsgebühren aufgeführt sind. ich denke, es wäre hilfreich, eine klarere trennung der verschiedenen gebühren zu haben, um die transparenz in der finanzdokumentation unseres unternehmens zu verbessern.\n\nich würde es sehr schätzen, wenn sie die rechnung überprüfen und gegebenenfalls das format so anpassen könnten, dass eine detailliertere aufschlüsselung der gebühren enthalten ist. dies ist ein dringendes anliegen, aber der vorschlag könnte auch für zukünftige rechnungen gelten.",account & billing management,account & billing management,nan,low,2,german,german
problem mit der smart home sicherheitskamera,"liebes support-team, ich habe sporadische probleme mit der ki-bewegungserkennung meiner safehome sicherheits-smart-home-kamera. während die manuellen live-streams einwandfrei funktionieren, arbeitet die bewegungserkennungsfunktion nicht richtig. ich benötige eine lösung innerhalb von 24 stunden. beste grüße, <name>",security operations,security operations,nan,medium,3,german,german
anfrage zur erweiterung von rapidminer,"sehr geehrtes support-team,\n\nich möchte eine anfrage für zusätzliche sla-tracking-metriken innerhalb von rapidminer einreichen, um die anforderungen von logisticore an die leistungsberichterstattung von lieferanten besser zu unterstützen. diese erweiterung hat eine geringe priorität und fällt in den bereich partner- und lieferantenkoordination.\n\nderzeit nutzen wir rapidminer für datenintegration und prognosen, um die supply-chain-analysen von logisticore zu unterstützen. ich wäre ihnen dankbar, wenn sie die implementierung von funktionen in betracht ziehen könnten, die diese berichtsfähigkeiten verbessern.\n\nvielen dank für ihre zeit und unterstützung.\n\nmit freundlichen grüßen,\n<name>",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
dringend: vpn-verbindungsfehler beeinträchtigt die abläufe von clinicsync solutions,"sehr geehrtes support-team,\n\nich melde ein kritisches vpn-verbindungsproblem, das die abläufe von clinicsync solutions erheblich beeinträchtigt. wir haben momentan einen vollständigen ausfall der vpn-verbindung, was die terminplanung für patienten sowie unsere telemedizin-portale, die airtable nutzen, unterbricht. diese störung ist dringend und erfordert sofortige aufmerksamkeit, da sie uns daran hindert, patienten zu terminieren und rechtzeitige gesundheitsdienstleistungen zu erbringen.\n\ndas problem trat vor etwa 30 minuten auf, und unser team war bisher nicht in der lage, es intern zu beheben.",network infrastructure,network infrastructure,nan,high,4,german,german
anfrage zur klärung der ci/cd-pipeline-dokumentation bezüglich der integration von sentry-fehlerwarnungen,"hallo support-team,\n\nich benötige eine klärung bezüglich der dokumentation zur integration der sentry-fehlerwarnungen in unsere ci/cd-pipeline.\n\ndanke,\n<name>",software development,software development,nan,low,2,german,german
probleme bei der bereitstellung von jira-releases,"liebes support-team, ich erlebe gelegentlich verzögerungen bei der bereitstellung von releases während der stoßzeiten bei jira. die aktuelle übergangslösung besteht darin, die bereitstellungen neu zu planen. ich benötige unterstützung, um dieses problem zu beheben. - <name>",release management,release management,nan,medium,3,german,german
fehler aufgetreten,"liebes support-team, ich habe große probleme mit den github ci/cd-pipelines von stratoworks, die zu blockaden bei der bereitstellung in ki-gesteuerten planungsintegrationen führen. dieses problem ist dringend und erfordert sofortige lösung. die fehler haben erst vor kurzem begonnen, und trotz mehrerer versuche zur fehlerbehebung konnte ich das problem nicht beheben. ich habe einen screenshot der fehlermeldung zu ihrer information angehängt. bitte helfen sie mir so schnell wie möglich. vielen dank für ihre schnelle bearbeitung dieses anliegens. mit freundlichen grüßen, <name>",software development,software development,nan,high,4,german,german
probleme mit der rapidminer api-integration,"liebes support-team, ich möchte gelegentliche ausfälle der api melden, die bei der integration von rapidminer-modellen in die optiinvest analytics-plattform auftreten. diese fehler sind in der vergangenen woche sporadisch aufgetreten und verursachen verzögerungen bei der verarbeitung, die unseren arbeitsablauf beeinträchtigen. obwohl unser team eine vorübergehende lösung gefunden hat, erfordert die implementierung einer dauerhaften behebung zusätzliche schritte in unseren routineabläufen. die umgebungsdetails sind wie folgt: rapidminer studio version 9.10 unter windows 10 mit allen neuesten updates installiert. die api-ausfälle scheinen inkonsistent zu sein.",software development,software development,nan,medium,3,german,german
